exerciseId,name,nameEn,mediaStatus,tier,confidence,sourceId,sourceName,projectEquipment,sourceEquipment,primaryMuscleCompatibility,conflictSummary,recommendedAction,startImageUrl,peakImageUrl
ab-wheel-rollout,健腹轮跪姿滚动,Kneeling Ab Wheel Rollout,missing,unmatched,0.479,Barbell_Ab_Rollout,Barbell Ab Rollout,健腹轮,barbell,1.000,身体姿态不一致：kneeling ≠ 未注明,保留为独立制图或补充其他数据源,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Barbell_Ab_Rollout/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Barbell_Ab_Rollout/1.jpg
alternating-dumbbell-bench-press,交替哑铃卧推,Alternating Dumbbell Bench Press,missing,manual-review,0.694,Dumbbell_Bench_Press,Dumbbell Bench Press,哑铃 / 卧推凳,dumbbell,1.000,侧别/交替方式不一致：alternating ≠ 未注明,在 review.html 对比前三候选后再决定,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Dumbbell_Bench_Press/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Dumbbell_Bench_Press/1.jpg
alternating-dumbbell-curl,交替哑铃弯举,Alternating Dumbbell Curl,missing,manual-review,0.561,Dumbbell_Alternate_Bicep_Curl,Dumbbell Alternate Bicep Curl,哑铃,dumbbell,1.000,侧别/交替方式不一致：alternating ≠ 未注明,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Dumbbell_Alternate_Bicep_Curl/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Dumbbell_Alternate_Bicep_Curl/1.jpg
alternating-dumbbell-press,交替哑铃推举,Alternating Dumbbell Press,missing,manual-review,0.694,Standing_Alternating_Dumbbell_Press,Standing Alternating Dumbbell Press,哑铃,dumbbell,1.000,身体姿态不一致：未注明 ≠ standing,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Standing_Alternating_Dumbbell_Press/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Standing_Alternating_Dumbbell_Press/1.jpg
arnold-press,阿诺德推举,Arnold Press,missing,manual-review,0.842,Arnold_Dumbbell_Press,Arnold Dumbbell Press,哑铃,dumbbell,1.000,,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Arnold_Dumbbell_Press/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Arnold_Dumbbell_Press/1.jpg
assisted-pull-up,辅助引体向上,Assisted Pull-up,missing,manual-review,0.726,Band_Assisted_Pull-Up,Band Assisted Pull-Up,辅助引体机,other,1.000,,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Band_Assisted_Pull-Up/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Band_Assisted_Pull-Up/1.jpg
back-extension,山羊挺身,Back Extension,complete,already-covered,1.000,Hyperextensions_Back_Extensions,Hyperextensions (Back Extensions),罗马椅,other,1.000,,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Hyperextensions_Back_Extensions/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Hyperextensions_Back_Extensions/1.jpg
band-chest-fly,弹力带夹胸,Band Chest Fly,missing,unmatched,0.487,Bench_Press_-_With_Bands,Bench Press - With Bands,弹力带,bands,1.000,,保留为独立制图或补充其他数据源,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Bench_Press_-_With_Bands/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Bench_Press_-_With_Bands/1.jpg
band-chest-press,弹力带推胸,Band Chest Press,missing,manual-review,0.651,Bench_Press_-_With_Bands,Bench Press - With Bands,弹力带,bands,1.000,,在 review.html 对比前三候选后再决定,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Bench_Press_-_With_Bands/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Bench_Press_-_With_Bands/1.jpg
band-hip-adduction,弹力带髋内收,Band Hip Adduction,missing,manual-review,0.779,Band_Hip_Adductions,Band Hip Adductions,弹力带,bands,1.000,,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Band_Hip_Adductions/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Band_Hip_Adductions/1.jpg
